No,약어,영문/원문,한글 해석
163,Batch,"제품 생산시에 생산단위 수량. Batch의 주요한 특징은 동일 제품에 대한 ＂동질성(homogeneity)＂으로써, 자재관리 모듈인 MM에서는 Batch가 동일 재고로 관리되는 자재에 대한 별도로 관리될 수 있는 부분집합으로 구분되어 처리 가능. 하나의 생산로트(production lot)는 여러 개의 Batch로 분할 가능. 예) production lots, delivery lots, quality grades of a material","제품 생산 시의 생산 단위 수량을 의미한다. Batch의 주요 특징은 동일 제품에 대한 “동질성(homogeneity)”이며, 자재관리 모듈인 MM에서는 Batch를 동일 재고로 관리되는 자재의 별도 관리가 가능한 부분집합으로 구분하여 처리할 수 있다. 하나의 생산 로트(production lot)는 여러 개의 Batch로 분할될 수 있다.  
예) production lots, delivery lots, quality grades of a material"
164,Batch (MM),Batch,배치
165,Batch Process,"공정의 특성상 하나하나 개수로 작업하지 않고 일련의 프로세스를 한꺼번에 작업해야 하는 작업공정. 주로 설비중심의 화학적 recipe에 의한 작업공정에 해당 예) Outsole Roll Compound 공정, IP Palletizing, 염색공정","Due to the nature of the process, work is not done by counting and handling items one by one, but by processing a series of procedures all at once. This mainly applies to equipment-centered processes based on chemical recipes.  
e.g.) Outsole Roll Compound process, IP Palletizing, dyeing process"
166,BAU,Business As Usual,평상시와 같은 업무 진행
167,BBM,Basketball (Mens),농구 (남성용)
168,BBW,Basketball (Womens),여자 농구
169,BCU,Bowerman Creation University,Bowerman Creation University
170,BDIT,Beaverton Developer Integration And Training,Beaverton 개발자 통합 및 교육
171,BDTS,Bottom Defect Tracking System,Bottom Defect Tracking System
172,BEP,Break Even Point,손익분기점
173,BF/BF,Backing Foam/Backing Filler,뒷받침용 폼 / 뒷채움 필러
174,BF/EV,Backing Foam / Eva Foam,백킹 폼 / EVA 폼
175,BF/MISC,Backing Foam / Miscellaneous*Equipment*,백킹 폼 / 기타*장비*
176,BF/NP,Backing Foam / Neoprene,백킹 폼 / 네오프렌
177,BF/PE,Backing Foam / Polyethylene,백킹 폼 / 폴리에틸렌
178,BF/PU,Backing Foam / Polyurethane,백킹 폼 / 폴리우레탄
179,BF/RB,Backing Foam / Rubber Based,Backing Foam / Rubber Based
180,BF/SR,Backing Foam / Slow Recovery,백킹 폼 / 슬로 리커버리
181,BFL,Bowerman Footwear Lab,Bowerman Footwear Lab
182,BGI,Borland Graphic Interface,Borland Graphic Interface
183,BHT,Butylated Hydroxytoluene,부틸화 하이드록시톨루엔
184,BI,Basic Information,기본 정보
185,BIG,Business Innovation Group,Business Innovation Group
186,Bill of exchange,본래의 법률상의 거래에서 파생되는 것으로 추상적인 문서의 형태로 지급을 약속하는것.[주]SAP에서는 일반적으로 약속어음을 의미하는 primissory note라는 용어를사용하고 있지 않음. 따라서 bill of exchange은 환어음과 약속어음 모두를 지칭하는 용어로 해석됨.,"본래의 법률상 거래에서 파생되어, 추상적인 문서 형태로 지급을 약속하는 것.  
[주] SAP에서는 일반적으로 약속어음을 의미하는 “promissory note”라는 용어를 사용하지 않음. 따라서 “bill of exchange”는 환어음과 약속어음을 모두 지칭하는 용어로 해석됨."
187,Bill of material,"○ PP  제품이나 어셈블리(assembly)를 이루는 구성부품(component)들의 구조화된 리스트. BOM은 각 component의 객체번호, 수량, 단위를 포함한다. BOM은 다음과 같은 여러 조직구조 및 기능분야에서 사용되는 중요한 정보들을 포함한다 - 자재소요량계획 (Material Requirement Planning- 생산을 위한 자재 공급 (Provision of Materials for Production- 생산원가 (Product Costing) SAP R/3 시스템에서, 다음과 같은 BOM들을 생성할 수 있다.- material BOM- equipment BOM- document structure- functional location BOM- standard BOM- sales order BOM ○ CO  특정 제품 또는 조립부품의 구성품을 일목요연하게 보여주는 목록. 이 명세서에는 각 부품의 번호, 수량과 측정단위가 나타나 있다. ▶ GMES  ERP BOM과 같은 개념이며, GMES에서 해당공정의 반제품 단위로 사용. 즉 공정 산출물을 반제품(Parent) 으로 하고 이를 위해 필요한 투입 원자재와 전공정의 반제품(Child)","○ PP  제품이나 어셈블리(assembly)를 이루는 구성부품(component)들의 구조화된 리스트. BOM은 각 component의 객체번호, 수량, 단위를 포함한다. BOM은 다음과 같은 여러 조직구조 및 기능분야에서 사용되는 중요한 정보들을 포함한다 - 자재소요량계획 (Material Requirement Planning- 생산을 위한 자재 공급 (Provision of Materials for Production- 생산원가 (Product Costing) SAP R/3 시스템에서, 다음과 같은 BOM들을 생성할 수 있다.- material BOM- equipment BOM- document structure- functional location BOM- standard BOM- sales order BOM ○ CO  특정 제품 또는 조립부품의 구성품을 일목요연하게 보여주는 목록. 이 명세서에는 각 부품의 번호, 수량과 측정단위가 나타나 있다. ▶ GMES  ERP BOM과 같은 개념이며, GMES에서 해당공정의 반제품 단위로 사용. 즉 공정 산출물을 반제품(Parent) 으로 하고 이를 위해 필요한 투입 원자재와 전공정의 반제품(Child)"
188,Billing date,세금계산서 발행일자.,Invoice issue date
189,Billing item,세금계산서 금액 내역을 구성하는 자재,Tax invoice amount breakdown material
190,Bill-to party,납품한 제품 또는 서비스에 대한 송장을 수령하는 사람 또는 회사.,납품된 제품 또는 서비스에 대한 송장을 수령하는 사람 또는 회사.
191,BIPOC,"Black, Indegenous, and People of Color","흑인, 원주민 및 유색인종"
192,BIQ,Built-In Quality,내재적 품질
193,BIS,"<span style=""color: #202124; font-family: 'Malgun Gothic'; font-size: 10pt;"">Bureau of Indian Standards</span>",인도 표준국
194,BIT,Bilateral Investment Treaty,양자 간 투자 협정
195,BIZ PARTNER,"법인별/시스템별 거래처 코드를 통합하여 유형별로 분류하여 표준 관리(Global Biz partner/Local Biz partner, 구매/회계, NIKE supplier와 매핑)","Integrate customer codes by corporation/system, classify them by type, and manage them as standards (mapped to Global Biz partner/Local Biz partner, purchasing/accounting, and NIKE supplier)."
196,BKA,Branded Kids Autoracing,브랜드 아동용 자동차 경주
197,BKB,Branded Kids Basketball,브랜드 키즈 농구
198,BKO,Branded Kids Other,브랜드 아동 기타
199,BKR,Branded Kids Running,브랜드 아동 러닝
200,BKS,Branded Kids Skateboarding,브랜드 키즈 스케이트보딩
201,BKT,Branded Kids Tennis,브랜드 키즈 테니스
202,BL,Bill Of Landing,선하증권
203,BLL,Build Late Limit,지연 제작 한도
204,BMA,Branded Mens Autoracing,브랜드 남성 자동차 경주
205,BMB,Branded Mens Basketball,브랜드 남성용 농구용 제품
206,BMB,Bio Mass Balanced,바이오 매스 밸런스 방식
207,BMF,Branded Mens XTrain/Fitness,브랜드 남성용 XTrain/피트니스
208,BMN,Branded Mens Running (New),브랜드 남성 러닝 (신규)
209,BMO,Branded Mens Other,브랜드 남성 기타
210,BMO,Bruce Merrifield - Ohe,브루스 메리필드 - Ohe
211,bmp,Bitmapped Pictures,비트맵 방식의 이미지
212,BMQ,Branded Mens Quickstrike,브랜드 남성용 퀵스트라이크
213,BMR,Branded Mens Running (Old),브랜드 남성 러닝 (구형)
214,BMS,Branded Mens Skateboard,브랜드 남성 스케이트보드
215,BMT,Branded Mens Tennis,브랜드 남성 테니스
216,BNP,Broken Needle Policy,파손 바늘 규정
217,BNP & MDP,Broken Needle Policy And Metal Detection Policy,파손 바늘 정책 및 금속 검출 정책
218,BOD,Board of Directors,이사회
219,BOH,Beginning On Hand,기초 재고 수량
220,BOL,Bill Of Labor,노무 명세서
221,BOM,Bill Of Material,자재 명세서
222,BOM explosion,"BOM의 모든 component들을 결정하고 나열하는 기능. 제품의 구조를 보거나 각 component의 총량을 보기위해 BOM을 전개한다. Multiple BOM에 대해, 적절한 alternative BOM을 자동 결정하는 절차를 주어진 company분야 내에서(BOM application) 정의할 수 있다.","BOM의 모든 component를 결정하고 나열하는 기능. 제품의 구조를 보거나 각 component의 총량을 확인하기 위해 BOM을 전개한다. Multiple BOM에 대해, 해당 company 분야 내에서 적절한 alternative BOM을 자동으로 결정하는 절차를 BOM application에서 정의할 수 있다."
223,BOM header,BOM 전체에 다음과 같은 일반적인 정보를 포함하는 부분.- Object number/plant/usage- Texts- Quantity data- Validity data- General data- Administrtive data- Item category,"BOM 전체에 다음과 같은 일반 정보를 포함하는 부분.  
- 오브젝트 번호/플랜트/용도  
- 텍스트  
- 수량 데이터  
- 유효 기간 데이터  
- 일반 데이터  
- 관리 데이터  
- 아이템 카테고리"
224,BOM item,Assembly에 사용되는 하나의 객체(material이나 document)에 대한 정보를 포함하는 component 부분. BOM item들은 그들의 특징에 따라 item category별로 묶인다. BOM item들은 item number에 따라 정렬된다.,Assembly에 사용되는 하나의 객체(material이나 document)에 대한 정보를 포함하는 구성 요소 부분. BOM item들은 그들의 특성에 따라 item category별로 묶인다. BOM item들은 item number 순으로 정렬된다.
225,BOM usage,"BOM의 용도를 결정한다. 용도에 따라 다음과 같이 구분된다- 회사의 다른 영역(engineering/design, production)들에서 사용되는 개별적 BOM- 회사의 모든 영역에서 사용되는 하나의 BOM","Decides the purpose of the BOM. Depending on the purpose, it is classified as follows:  
- Individual BOMs used in other areas of the company (engineering/design, production)  
- A single BOM used across all areas of the company"
226,BOS,Balance Of Season,시즌 재고 정산
227,BP,Build Plan,Build Plan
228,BP,Business Planning,Business Planning
229,BP,Best Practice,베스트 프랙티스
230,BPD,Business Process Design,업무 프로세스 설계
231,BPFC,Bonding Process Flow Chart,Bonding Process Flow Chart → 본딩 공정 흐름도
232,BPG,Business Planning Group,Business Planning Group
233,BPM,Back Part Molding,후방 부품 몰딩
234,BR,Butadiene Rubber,부타디엔 고무
235,BR,Barge,Barge 접착제
236,BRS,Blue Ribbon Sports,Blue Ribbon Sports
237,BS,Balance Sheet,대차대조표
238,BSC,Balance Score Card,Balanced Scorecard
239,BSE,Bovine Spongiform Encephalopathy,소 해면상 뇌증
240,BT,Boy Toddler,남아 토들러
241,BTL,Below The Line,선(Line) 이하(소규모/세부) 마케팅 활동
242,BTL,Between The Line,Between The Line
243,BTM,Mens Basketball (Team Bank),남성용 농구 (팀 뱅크 라인)
244,BTO,Build To Order,주문 후 제작
245,BTRSS,Bonding Test Requirement Specification Sheet,Bonding Test Requirement Specification Sheet
246,BTS,Build To Schedule,일정에 맞춘 생산 구축
247,BTW,Womens Basketball (Team Bank),Womens Basketball (Team Bank)
248,BU,Business Unit,사업 부문
249,Bullwhip Effect,채찍 손잡이 부분에 작은 힘이 가해져도 끝부분에서는 큰 힘이 생기는 현상,A small force applied to the handle of a whip yielding a large force at its tip.
250,BV,Bureau Veritas,Bureau Veritas
251,BVTN,Beaverton,Beaverton
